Column1,Column2
"[[2, 3], [1, 4]]",0.979355666
"[[2, 3], [1, 4]]",0.979328177
"[[4], [1, 2, 3]]",0.979402905
"[[4], [1, 2, 3]]",0.979560117
"[[4], [1, 2, 3]]",0.98125174
"[[4], [1, 2, 3]]",0.98262579
"[[4], [1, 2, 3]]",0.983108946
"[[4], [1, 2, 3]]",0.983508243
"[[4], [1, 2, 3]]",0.983535605
"[[4], [1, 2, 3]]",0.983597316
"[[4], [1, 2, 3]]",0.983535492
"[[4], [1, 2, 3]]",0.983543926
"[[4], [1, 2, 3]]",0.983548596
"[[4], [1, 2, 3]]",0.983497896
"[[4], [1, 2, 3]]",0.983573045
"[[4], [1, 2, 3]]",0.983710112
"[[4], [1, 2, 3]]",0.98367345
"[[4], [1, 2, 3]]",0.983625098
"[[4], [1, 2, 3]]",0.983785747
"[[4], [1, 2, 3]]",0.983997307
"[[4], [1, 2, 3]]",0.98407511
"[[4], [1, 2, 3]]",0.984110589
"[[4], [1, 2, 3]]",0.984044899
"[[4], [1, 2, 3]]",0.984034411
"[[4], [1, 2, 3]]",0.984035903
"[[4], [1, 2, 3]]",0.984043296
"[[4], [1, 2, 3]]",0.984125412
"[[4], [1, 2, 3]]",0.984126338
"[[4], [1, 2, 3]]",0.984551097
"[[4], [1, 2, 3]]",0.984616039
"[[4], [1, 2, 3]]",0.984635082
"[[4], [1, 2, 3]]",0.984928022
"[[4], [1, 2, 3]]",0.984838652
"[[4], [1, 2, 3]]",0.984831556
"[[4], [1, 2, 3]]",0.984856915
"[[4], [1, 2, 3]]",0.984850149
"[[4], [1, 2, 3]]",0.984748166
"[[4], [1, 2, 3]]",0.984644649
"[[4], [1, 2, 3]]",0.984680782
"[[4], [1, 2, 3]]",0.984420178
"[[4], [1, 2, 3]]",0.98433438
"[[4], [1, 2, 3]]",0.983380614
"[[4], [1, 2, 3]]",0.982624092
"[[4], [1, 2, 3]]",0.98258585
"[[4], [1, 2, 3]]",0.982648947
"[[4], [1, 2, 3]]",0.982588428
"[[4], [1, 2, 3]]",0.982569167
"[[4], [1, 2, 3]]",0.982435353
"[[4], [1, 2, 3]]",0.982287148
"[[4], [1, 2, 3]]",0.982206095
"[[4], [1, 2, 3]]",0.982104147
"[[4], [1, 2, 3]]",0.983011017
"[[4], [1, 2, 3]]",0.985615626
"[[4], [1, 2, 3]]",0.985818679
"[[4], [1, 2, 3]]",0.985894485
"[[4], [1, 2, 3]]",0.985931719
"[[4], [1, 2, 3]]",0.985847058
"[[4], [1, 2, 3]]",0.985992839
"[[4], [1, 2, 3]]",0.986444243
"[[4], [1, 2, 3]]",0.986432382
"[[4], [1, 2, 3]]",0.986460277
"[[4], [1, 2, 3]]",0.98643659
"[[4], [1, 2, 3]]",0.986407895
"[[4], [1, 2, 3]]",0.986373362
"[[4], [1, 2, 3]]",0.986343766
"[[4], [1, 2, 3]]",0.986331921
"[[4], [1, 2, 3]]",0.985854113
"[[4], [1, 2, 3]]",0.984606546
"[[4], [1, 2, 3]]",0.983895336
"[[4], [1, 2, 3]]",0.983340924
"[[4], [1, 2, 3]]",0.983318478
"[[4], [1, 2, 3]]",0.983320875
"[[4], [1, 2, 3]]",0.983315364
"[[4], [1, 2, 3]]",0.983310657
"[[4], [1, 2, 3]]",0.983261095
"[[4], [1, 2, 3]]",0.983223772
"[[4], [1, 2, 3]]",0.983291413
"[[4], [1, 2, 3]]",0.983178974
"[[4], [1, 2, 3]]",0.983178245
"[[4], [1, 2, 3]]",0.983170158
"[[4], [1, 2, 3]]",0.983174621
"[[4], [1, 2, 3]]",0.983120714
"[[4], [1, 2, 3]]",0.983074115
"[[4], [1, 2, 3]]",0.983009179
"[[4], [1, 2, 3]]",0.982974558
"[[4], [1, 2, 3]]",0.982937972
"[[4], [1, 2, 3]]",0.982890827
"[[4], [1, 2, 3]]",0.982951747
"[[4], [1, 2, 3]]",0.982722979
"[[4], [1, 2, 3]]",0.984019548
"[[4], [1, 2, 3]]",0.984607848
"[[4], [1, 2, 3]]",0.984528181
"[[4], [1, 2, 3]]",0.98423175
"[[4], [1, 2, 3]]",0.984172471
"[[4], [1, 2, 3]]",0.984118521
"[[4], [1, 2, 3]]",0.984151442
"[[4], [1, 2, 3]]",0.984178388
"[[4], [1, 2, 3]]",0.984185382
"[[4], [1, 2, 3]]",0.984168983
"[[4], [1, 2, 3]]",0.984221399
"[[4], [1, 2, 3]]",0.983979929
"[[4], [1, 2, 3]]",0.983993039
"[[4], [1, 2, 3]]",0.984150225
"[[4], [1, 2, 3]]",0.984230357
"[[4], [1, 2, 3]]",0.98433352
"[[4], [1, 2, 3]]",0.984346504
"[[4], [1, 2, 3]]",0.98429757
"[[4], [1, 2, 3]]",0.984237177
"[[4], [1, 2, 3]]",0.984249087
"[[4], [1, 2, 3]]",0.984335876
"[[4], [1, 2, 3]]",0.984411918
"[[4], [1, 2, 3]]",0.984491802
"[[4], [1, 2, 3]]",0.984615671
"[[4], [1, 2, 3]]",0.984468792
"[[4], [1, 2, 3]]",0.982867827
"[[4], [1, 2, 3]]",0.983950027
"[[4], [1, 2, 3]]",0.984698017
"[[4], [1, 2, 3]]",0.985293022
"[[4], [1, 2, 3]]",0.985335282
"[[4], [1, 2, 3]]",0.985321664
"[[4], [1, 2, 3]]",0.985327586
"[[4], [1, 2, 3]]",0.985335466
"[[4], [1, 2, 3]]",0.985354546
"[[4], [1, 2, 3]]",0.985067006
"[[4], [1, 2, 3]]",0.983434838
"[[4], [1, 2, 3]]",0.982054854
"[[4], [1, 2, 3]]",0.980762778
"[[4], [1, 2, 3]]",0.979928949
"[[4], [1, 2, 3]]",0.979873952
"[[4], [1, 2, 3]]",0.979928106
"[[4], [1, 2, 3]]",0.979995604
"[[4], [1, 2, 3]]",0.979906762
"[[4], [1, 2, 3]]",0.97965606
"[[4], [1, 2, 3]]",0.979470241
"[[4], [1, 2, 3]]",0.978945518
"[[4], [1, 2, 3]]",0.978488236
