Column1,Column2,first 500 UK
"[[1], [2, 3, 4]]",0.879344567,0.879344567
"[[1], [2, 3, 4]]",0.879541143,0.879541143
"[[1], [2, 3, 4]]",0.879673752,0.879673752
"[[1], [2, 3, 4]]",0.879845524,0.879845524
"[[1], [2, 3, 4]]",0.880041384,0.880041384
"[[1], [2, 3, 4]]",0.880285517,0.880285517
"[[1], [2, 3, 4]]",0.880718865,0.880718865
"[[1], [2, 3, 4]]",0.880748638,0.880748638
"[[1], [2, 3, 4]]",0.880084651,0.880084651
"[[1], [2, 3, 4]]",0.879209894,0.879209894
"[[1], [2, 3, 4]]",0.877889746,0.877889746
"[[1], [2, 3, 4]]",0.876907035,0.876907035
"[[1], [2, 3, 4]]",0.876126077,0.876126077
"[[1], [2, 3, 4]]",0.875534423,0.875534423
"[[1], [2, 3, 4]]",0.874397467,0.874397467
"[[1], [2, 3, 4]]",0.872814933,0.872814933
"[[1], [2, 3, 4]]",0.871379183,0.871379183
"[[1], [2, 3, 4]]",0.874740275,0.874740275
"[[1], [2, 3, 4]]",0.907243201,0.907243201
"[[2], [1, 3, 4]]",0.929266597,0.929266597
"[[2], [1, 3, 4]]",0.945393642,0.945393642
"[[2], [1, 3, 4]]",0.945000287,0.945000287
"[[2], [1, 3, 4]]",0.944495119,0.944495119
"[[2], [1, 3, 4]]",0.944138026,0.944138026
"[[2], [1, 3, 4]]",0.943428662,0.943428662
"[[2], [1, 3, 4]]",0.942738842,0.942738842
"[[2], [1, 3, 4]]",0.942219657,0.942219657
"[[2], [1, 3, 4]]",0.941749976,0.941749976
"[[2], [1, 3, 4]]",0.941225955,0.941225955
"[[2], [1, 3, 4]]",0.940766899,0.940766899
"[[2], [1, 3, 4]]",0.940331798,0.940331798
"[[2], [1, 3, 4]]",0.940043056,0.940043056
"[[2], [1, 3, 4]]",0.939954989,0.939954989
"[[2], [1, 3, 4]]",0.939915396,0.939915396
"[[2], [1, 3, 4]]",0.939865631,0.939865631
"[[2], [1, 3, 4]]",0.93975264,0.93975264
"[[2], [1, 3, 4]]",0.939567578,0.939567578
"[[2], [1, 3, 4]]",0.93942097,0.93942097
"[[2], [1, 3, 4]]",0.939498468,0.939498468
"[[2], [1, 3, 4]]",0.939683079,0.939683079
"[[2], [1, 3, 4]]",0.939758469,0.939758469
"[[2], [1, 3, 4]]",0.937999935,0.937999935
"[[1], [2, 3, 4]]",0.880037108,0.880037108
"[[1], [2, 3, 4]]",0.873194141,0.873194141
"[[1], [2, 3, 4]]",0.874724472,0.874724472
"[[1], [2, 3, 4]]",0.875668555,0.875668555
"[[1], [2, 3, 4]]",0.875908623,0.875908623
"[[1], [2, 3, 4]]",0.875991077,0.875991077
"[[1], [2, 3, 4]]",0.876013776,0.876013776
"[[1], [2, 3, 4]]",0.876085473,0.876085473
"[[1], [2, 3, 4]]",0.876269073,0.876269073
"[[1], [2, 3, 4]]",0.87638049,0.87638049
"[[1], [2, 3, 4]]",0.876504035,0.876504035
"[[1], [2, 3, 4]]",0.876660291,0.876660291
"[[1], [2, 3, 4]]",0.877102412,0.877102412
"[[1], [2, 3, 4]]",0.878046882,0.878046882
"[[1], [2, 3, 4]]",0.879245287,0.879245287
"[[1], [2, 3, 4]]",0.880402825,0.880402825
"[[1], [2, 3, 4]]",0.881326294,0.881326294
"[[1], [2, 3, 4]]",0.882033503,0.882033503
"[[1], [2, 3, 4]]",0.882470777,0.882470777
"[[1], [2, 3, 4]]",0.882673043,0.882673043
"[[1], [2, 3, 4]]",0.882943679,0.882943679
"[[1], [2, 3, 4]]",0.883408822,0.883408822
"[[1], [2, 3, 4]]",0.883948029,0.883948029
"[[1], [2, 3, 4]]",0.884410374,0.884410374
"[[1], [2, 3, 4]]",0.884652691,0.884652691
"[[1], [2, 3, 4]]",0.884790896,0.884790896
"[[1], [2, 3, 4]]",0.884920358,0.884920358
"[[1], [2, 3, 4]]",0.885021337,0.885021337
"[[1], [2, 3, 4]]",0.8850872,0.8850872
"[[1], [2, 3, 4]]",0.885107557,0.885107557
"[[1], [2, 3, 4]]",0.885079309,0.885079309
"[[1], [2, 3, 4]]",0.885005151,0.885005151
"[[1], [2, 3, 4]]",0.884842538,0.884842538
"[[1], [2, 3, 4]]",0.884667965,0.884667965
"[[1], [2, 3, 4]]",0.884467929,0.884467929
"[[1], [2, 3, 4]]",0.884266087,0.884266087
"[[1], [2, 3, 4]]",0.884048122,0.884048122
"[[1], [2, 3, 4]]",0.883747103,0.883747103
"[[1], [2, 3, 4]]",0.883538947,0.883538947
"[[1], [2, 3, 4]]",0.883074826,0.883074826
"[[1], [2, 3, 4]]",0.882576366,0.882576366
"[[1], [2, 3, 4]]",0.882124997,0.882124997
"[[1], [2, 3, 4]]",0.881632965,0.881632965
"[[1], [2, 3, 4]]",0.881206124,0.881206124
"[[1], [2, 3, 4]]",0.880386685,0.880386685
"[[1], [2, 3, 4]]",0.879508232,0.879508232
"[[1], [2, 3, 4]]",0.878393226,0.878393226
"[[1], [2, 3, 4]]",0.876395137,0.876395137
"[[2], [1, 3, 4]]",0.915026145,0.915026145
"[[2], [1, 3, 4]]",0.936864911,0.936864911
"[[2], [1, 3, 4]]",0.943356654,0.943356654
"[[2], [1, 3, 4]]",0.942637238,0.942637238
"[[2], [1, 3, 4]]",0.941727844,0.941727844
"[[2], [1, 3, 4]]",0.94092719,0.94092719
"[[2], [1, 3, 4]]",0.94010936,0.94010936
"[[2], [1, 3, 4]]",0.939288763,0.939288763
"[[2], [1, 3, 4]]",0.93846212,0.93846212
"[[2], [1, 3, 4]]",0.937768203,0.937768203
"[[2], [1, 3, 4]]",0.937161755,0.937161755
"[[2], [1, 3, 4]]",0.936548953,0.936548953
"[[2], [1, 3, 4]]",0.935636166,0.935636166
"[[2], [1, 3, 4]]",0.935002772,0.935002772
"[[2], [1, 3, 4]]",0.934471216,0.934471216
"[[2], [1, 3, 4]]",0.93436079,0.93436079
"[[2], [1, 3, 4]]",0.934430411,0.934430411
"[[2], [1, 3, 4]]",0.934356684,0.934356684
"[[2], [1, 3, 4]]",0.934265103,0.934265103
"[[2], [1, 3, 4]]",0.934203554,0.934203554
"[[2], [1, 3, 4]]",0.934123906,0.934123906
"[[2], [1, 3, 4]]",0.934045045,0.934045045
"[[2], [1, 3, 4]]",0.93401279,0.93401279
"[[2], [1, 3, 4]]",0.934250565,0.934250565
"[[2], [1, 3, 4]]",0.934524462,0.934524462
"[[2], [1, 3, 4]]",0.93476221,0.93476221
"[[2], [1, 3, 4]]",0.935042721,0.935042721
"[[2], [1, 3, 4]]",0.935345366,0.935345366
"[[2], [1, 3, 4]]",0.935601884,0.935601884
"[[2], [1, 3, 4]]",0.935947717,0.935947717
"[[2], [1, 3, 4]]",0.936710767,0.936710767
"[[2], [1, 3, 4]]",0.937397318,0.937397318
"[[2], [1, 3, 4]]",0.938160521,0.938160521
"[[2], [1, 3, 4]]",0.938839246,0.938839246
"[[2], [1, 3, 4]]",0.939538363,0.939538363
"[[2], [1, 3, 4]]",0.940289498,0.940289498
"[[2], [1, 3, 4]]",0.941111994,0.941111994
"[[2], [1, 3, 4]]",0.941781253,0.941781253
"[[2], [1, 3, 4]]",0.94238589,0.94238589
"[[2], [1, 3, 4]]",0.943186218,0.943186218
"[[2], [1, 3, 4]]",0.943935786,0.943935786
"[[2], [1, 3, 4]]",0.944572185,0.944572185
"[[2], [1, 3, 4]]",0.945310066,0.945310066
"[[2], [1, 3, 4]]",0.945932714,0.945932714
"[[2], [1, 3, 4]]",0.946469301,0.946469301
"[[2], [1, 3, 4]]",0.946904469,0.946904469
"[[2], [1, 3, 4]]",0.947257772,0.947257772
"[[2], [1, 3, 4]]",0.947751691,0.947751691
"[[2], [1, 3, 4]]",0.948734146,0.948734146
"[[2], [1, 3, 4]]",0.949542203,0.949542203
"[[2], [1, 3, 4]]",0.950164082,0.950164082
"[[2], [1, 3, 4]]",0.950572337,0.950572337
"[[2], [1, 3, 4]]",0.951051748,0.951051748
"[[2], [1, 3, 4]]",0.951484048,0.951484048
"[[2], [1, 3, 4]]",0.951737233,0.951737233
"[[2], [1, 3, 4]]",0.952156697,0.952156697
"[[2], [1, 3, 4]]",0.952624196,0.952624196
"[[2], [1, 3, 4]]",0.95296676,0.95296676
"[[2], [1, 3, 4]]",0.953301755,0.953301755
"[[2], [1, 3, 4]]",0.953662192,0.953662192
"[[2], [1, 3, 4]]",0.95418616,0.95418616
"[[2], [1, 3, 4]]",0.954132387,0.954132387
"[[2], [1, 3, 4]]",0.953946625,0.953946625
"[[2], [1, 3, 4]]",0.953855443,0.953855443
"[[2], [1, 3, 4]]",0.953681434,0.953681434
"[[2], [1, 3, 4]]",0.953302389,0.953302389
"[[2], [1, 3, 4]]",0.953021828,0.953021828
"[[2], [1, 3, 4]]",0.952843971,0.952843971
"[[2], [1, 3, 4]]",0.952654946,0.952654946
"[[2], [1, 3, 4]]",0.952468423,0.952468423
"[[2], [1, 3, 4]]",0.95231732,0.95231732
"[[2], [1, 3, 4]]",0.952421484,0.952421484
"[[2], [1, 3, 4]]",0.952619287,0.952619287
"[[2], [1, 3, 4]]",0.952702531,0.952702531
"[[2], [1, 3, 4]]",0.952826142,0.952826142
"[[2], [1, 3, 4]]",0.952775789,0.952775789
"[[2], [1, 3, 4]]",0.952736244,0.952736244
"[[2], [1, 3, 4]]",0.952756318,0.952756318
"[[2], [1, 3, 4]]",0.952625869,0.952625869
"[[2], [1, 3, 4]]",0.952588415,0.952588415
"[[2], [1, 3, 4]]",0.952542355,0.952542355
"[[2], [1, 3, 4]]",0.952508483,0.952508483
"[[2], [1, 3, 4]]",0.952455246,0.952455246
"[[2], [1, 3, 4]]",0.952404384,0.952404384
"[[2], [1, 3, 4]]",0.952245828,0.952245828
"[[2], [1, 3, 4]]",0.95196012,0.95196012
"[[2], [1, 3, 4]]",0.951761762,0.951761762
"[[2], [1, 3, 4]]",0.95185813,0.95185813
"[[2], [1, 3, 4]]",0.951957527,0.951957527
"[[2], [1, 3, 4]]",0.952002876,0.952002876
"[[2], [1, 3, 4]]",0.951840087,0.951840087
"[[2], [1, 3, 4]]",0.951611886,0.951611886
"[[2], [1, 3, 4]]",0.951561061,0.951561061
"[[2], [1, 3, 4]]",0.951528583,0.951528583
